CID,Status,CAmt,Location
242,Approved,4711,Pune
243,Approved,3328,Ayodhya
244,Declined,3133,Lucknow
245,Declined,2628,Delhi
246,Under Review,2334,Mumbai
247,Under Review,2298,Pune
248,Approved,3658,Pune
249,Approved,3251,Mumbai
250,Approved,3897,NYC
251,Under Review,1424,NYC
252,Under Review,2739,Delhi
253,Under Review,1527,Delhi
254,Under Review,1714,Pune
255,Under Review,3522,Mumbai
256,Under Review,2217,NYC
257,Approved,2950,Lucknow
258,Declined,2648,Mumbai
259,Declined,3311,Ayodhya
260,Approved,4016,Lucknow
261,Declined,1240,Delhi
262,Approved,3180,Mumbai
263,Under Review,2574,Ayodhya
264,Under Review,3926,Ayodhya
265,Under Review,2292,Pune
266,Under Review,3935,Lucknow
267,Approved,1124,NYC
268,Under Review,3329,Delhi
269,Declined,4115,Delhi
270,Approved,4354,NYC
271,Declined,1603,Pune
272,Declined,2171,Pune
273,Declined,3525,Lucknow
274,Approved,3981,Lucknow
275,Approved,3352,NYC
276,Approved,4158,Delhi
277,Declined,1605,Mumbai
278,Under Review,4640,Lucknow
279,Declined,4696,Ayodhya
280,Under Review,1556,Pune
281,Declined,4798,Ayodhya
282,Approved,3630,Mumbai
283,Under Review,3428,Ayodhya
284,Approved,4476,Mumbai
285,Under Review,3732,Pune
286,Approved,1580,Mumbai
287,Approved,3388,Lucknow
288,Declined,3322,NYC
289,Under Review,2784,Ayodhya
290,Under Review,1478,Delhi
291,Approved,1823,Ayodhya
292,Under Review,2438,Mumbai
293,Declined,4438,Lucknow
294,Declined,3154,Lucknow
295,Approved,1308,Lucknow
296,Approved,2898,Ayodhya
297,Approved,3883,Delhi
298,Declined,2807,Lucknow
299,Under Review,4964,Mumbai
300,Under Review,1590,Lucknow
301,Approved,3046,NYC
302,Declined,3149,Ayodhya
303,Under Review,2603,Delhi
304,Declined,3175,Delhi
305,Approved,3352,Lucknow
306,Approved,1998,Mumbai
307,Approved,1668,NYC
308,Under Review,2878,Lucknow
309,Declined,1621,Delhi
310,Approved,1114,Delhi
311,Declined,2989,Pune
312,Under Review,2981,Mumbai
313,Declined,4705,Delhi
314,Under Review,1340,Lucknow
315,Under Review,4464,Delhi
316,Approved,2840,NYC
317,Under Review,1799,Lucknow
318,Declined,4272,Delhi
319,Under Review,3155,Delhi
320,Approved,2325,Lucknow
321,Under Review,3804,Pune
322,Approved,1499,Lucknow
323,Under Review,3578,Ayodhya
324,Approved,4235,NYC
325,Declined,2856,Lucknow
326,Approved,2344,Mumbai
327,Approved,3751,Lucknow
328,Declined,2024,NYC
329,Declined,2907,Mumbai
330,Declined,4978,NYC
331,Under Review,1140,Delhi
332,Approved,3539,Mumbai
333,Declined,3720,Mumbai
334,Declined,3833,Lucknow
335,Declined,2024,Lucknow
336,Declined,2647,NYC
337,Approved,3803,Pune
338,Under Review,3370,NYC
339,Declined,2309,Ayodhya
340,Declined,3855,Lucknow
341,Declined,1392,Pune
342,Approved,1747,Pune
343,Declined,3308,NYC
344,Under Review,2733,Ayodhya
345,Under Review,2562,NYC
346,Under Review,4567,Ayodhya
347,Under Review,2017,Mumbai
348,Declined,3206,Mumbai
349,Approved,2721,Pune
350,Declined,3219,Mumbai
351,Under Review,2103,Delhi
352,Declined,1478,Lucknow
353,Declined,2618,Pune
354,Under Review,3703,NYC
355,Declined,3307,Lucknow
356,Declined,4141,NYC
357,Declined,3741,Lucknow
358,Under Review,4591,Pune
359,Declined,3545,Ayodhya
360,Approved,1398,Ayodhya
361,Approved,1868,Ayodhya
362,Declined,1511,NYC
363,Declined,2136,NYC
364,Approved,4974,NYC
365,Declined,3146,Ayodhya
366,Approved,4994,Delhi
367,Under Review,2115,Pune
368,Approved,3196,Delhi
369,Approved,3010,Ayodhya
370,Declined,1859,Lucknow
371,Declined,1934,Pune
372,Under Review,1662,Pune
373,Under Review,1109,Lucknow
374,Declined,1755,Mumbai
375,Declined,2162,Mumbai
376,Declined,4732,NYC
377,Under Review,3544,Delhi
378,Declined,2068,Delhi
379,Under Review,4567,Ayodhya
380,Approved,2876,Lucknow
381,Under Review,1068,Ayodhya
382,Approved,2133,NYC
383,Under Review,2519,Delhi
384,Approved,2824,Delhi
385,Under Review,4513,NYC
386,Declined,4507,Lucknow
387,Approved,1325,Mumbai
388,Under Review,3585,Mumbai
389,Declined,3964,Ayodhya
390,Declined,3249,Mumbai
391,Approved,2903,Lucknow
392,Under Review,2799,NYC
393,Under Review,4564,Mumbai
394,Under Review,4155,Mumbai
395,Under Review,2197,Lucknow
396,Under Review,1027,Pune
397,Declined,4525,Delhi
398,Approved,2872,Lucknow
399,Declined,2333,Mumbai
400,Declined,4668,Lucknow
401,Approved,4229,NYC
402,Under Review,2760,Lucknow
403,Declined,3782,Pune
404,Under Review,1056,Ayodhya
405,Approved,2547,Mumbai
406,Declined,1863,Delhi
407,Under Review,1489,Ayodhya
408,Under Review,3876,Ayodhya
409,Under Review,2396,Delhi
410,Approved,2855,Lucknow
411,Approved,4209,Ayodhya
412,Declined,1592,Lucknow
413,Declined,1341,NYC
414,Declined,1101,Lucknow
415,Declined,3258,Mumbai
416,Under Review,2101,Lucknow
417,Approved,3775,Mumbai
418,Declined,3351,NYC
419,Under Review,1959,Mumbai
420,Approved,1389,Lucknow
421,Declined,2608,Mumbai
422,Approved,1370,Lucknow
423,Under Review,1473,Delhi
424,Approved,3541,NYC
425,Declined,3839,Ayodhya
426,Declined,2275,Mumbai
427,Under Review,4197,Lucknow
428,Declined,1587,Ayodhya
429,Approved,3327,Delhi
430,Declined,4435,Mumbai
431,Under Review,3823,Lucknow
432,Under Review,3030,Ayodhya
433,Declined,2838,Ayodhya
434,Under Review,1305,Lucknow
435,Declined,4886,Ayodhya
436,Under Review,2486,Pune
437,Declined,4300,Lucknow
438,Under Review,2194,Lucknow
439,Declined,2230,Delhi
440,Approved,4512,Ayodhya
441,Declined,2507,Mumbai
442,Under Review,2608,Lucknow
443,Approved,4293,Ayodhya
444,Under Review,1601,NYC
445,Under Review,1759,Lucknow
446,Declined,4843,Lucknow
447,Under Review,4457,Mumbai
448,Under Review,3058,Delhi
449,Declined,2424,Lucknow
450,Under Review,1320,Delhi
451,Approved,2532,Lucknow
452,Declined,2886,Delhi
453,Declined,4906,Delhi
454,Declined,3307,Pune
455,Approved,4921,Mumbai
456,Approved,3959,NYC
457,Under Review,1846,Pune
458,Declined,4574,Lucknow
459,Declined,4437,Delhi
460,Declined,1167,NYC
461,Approved,3401,Pune
462,Declined,3189,Pune
463,Approved,2602,Ayodhya
464,Under Review,2569,Pune
465,Approved,4725,Delhi
466,Declined,2206,Ayodhya
467,Declined,1772,Lucknow
468,Declined,3697,Lucknow
469,Under Review,2021,Pune
470,Under Review,3249,NYC
471,Declined,3941,Lucknow
472,Approved,4258,Ayodhya
473,Approved,1840,NYC
474,Under Review,3074,Mumbai
475,Approved,1364,Mumbai
476,Approved,3183,Pune
477,Under Review,2073,NYC
478,Declined,2129,NYC
479,Declined,4005,Ayodhya
480,Under Review,2917,Lucknow
481,Under Review,1478,Ayodhya
482,Declined,2843,Pune
483,Under Review,1060,Mumbai
484,Approved,2484,Lucknow
485,Under Review,3150,Delhi
486,Under Review,2664,Delhi
487,Approved,2888,Pune
488,Approved,3200,Ayodhya
489,Approved,3309,Pune
490,Approved,4765,Ayodhya
491,Declined,1409,Pune
492,Approved,2717,NYC
493,Under Review,2656,Pune
494,Approved,2865,Lucknow
495,Under Review,2877,Delhi
496,Approved,1833,Delhi
497,Under Review,1927,NYC
498,Approved,1095,Ayodhya
499,Approved,2876,Mumbai
500,Approved,4786,Mumbai
501,Declined,1162,Ayodhya
502,Under Review,4223,Ayodhya
503,Under Review,3657,Mumbai
504,Under Review,4481,Delhi
505,Under Review,4819,NYC
506,Declined,2790,Delhi
507,Declined,2480,Lucknow
508,Under Review,3434,Ayodhya
509,Approved,1495,Ayodhya
510,Declined,3630,Pune
511,Approved,2944,Lucknow
512,Approved,3302,Delhi
513,Approved,1179,Lucknow
514,Declined,1171,Lucknow
515,Approved,3971,Ayodhya
516,Under Review,4725,Mumbai
517,Under Review,1606,Pune
518,Declined,1644,NYC
519,Declined,3307,Delhi
520,Declined,4307,Pune
521,Declined,2181,Pune
522,Under Review,3687,Lucknow
523,Under Review,2887,Lucknow
524,Under Review,3477,Mumbai
525,Approved,1867,Ayodhya
526,Under Review,2450,Mumbai
527,Declined,4469,Mumbai
528,Approved,2778,Ayodhya
529,Declined,4058,Ayodhya
530,Approved,3215,Mumbai
531,Under Review,4309,Pune
532,Approved,2181,NYC
533,Approved,1195,Ayodhya
534,Approved,1161,Lucknow
535,Under Review,2415,Mumbai
536,Approved,1301,Ayodhya
537,Approved,2343,Pune
538,Declined,3959,Ayodhya
539,Declined,1729,NYC
540,Declined,1607,Delhi
541,Under Review,2369,Lucknow
542,Approved,4953,Lucknow
543,Declined,1014,Pune
544,Under Review,4399,Pune
545,Under Review,3985,Pune
546,Approved,2341,NYC
547,Declined,1759,Pune
548,Declined,1867,Pune
549,Under Review,1954,Pune
550,Under Review,3017,Lucknow
551,Declined,2732,Mumbai
552,Declined,3697,Ayodhya
553,Declined,3077,Pune
554,Under Review,4586,Delhi
555,Declined,1071,Lucknow
556,Declined,4098,Lucknow
557,Under Review,2934,Mumbai
558,Declined,3041,Delhi
559,Under Review,3934,Mumbai
560,Approved,3288,Lucknow
561,Under Review,4595,NYC
562,Under Review,1467,Ayodhya
563,Declined,4611,Lucknow
564,Approved,3356,Ayodhya
565,Approved,4212,Mumbai
566,Approved,4008,Delhi
567,Under Review,3735,NYC
568,Approved,3089,Delhi
569,Approved,4226,Ayodhya
570,Approved,2461,Mumbai
571,Under Review,2594,NYC
572,Declined,4583,NYC
573,Approved,1674,NYC
574,Declined,2877,Pune
575,Under Review,2131,Mumbai
576,Approved,3222,Mumbai
577,Declined,3702,Ayodhya
578,Approved,2096,Pune
579,Approved,1816,Ayodhya
580,Under Review,3958,Mumbai
581,Declined,4358,Lucknow
582,Declined,2085,Pune
583,Declined,4863,Pune
584,Approved,3999,Ayodhya
585,Under Review,4156,Lucknow
586,Approved,2615,Delhi
587,Under Review,1668,Mumbai
588,Declined,3874,Ayodhya
589,Declined,3643,Pune
590,Approved,2389,Lucknow
591,Under Review,3910,Ayodhya
592,Approved,1371,Delhi
593,Declined,1633,Delhi
594,Approved,2712,NYC
595,Approved,2539,Mumbai
596,Approved,1539,Lucknow
597,Declined,1891,NYC
598,Declined,3475,Mumbai
599,Declined,4175,Ayodhya
600,Approved,2079,NYC
601,Approved,1991,Ayodhya
602,Approved,4952,Ayodhya
603,Declined,2658,NYC
604,Under Review,2914,Mumbai
605,Approved,3060,Ayodhya
606,Approved,4591,Ayodhya
607,Approved,3274,Ayodhya
608,Approved,3975,Lucknow
609,Under Review,4796,Ayodhya
610,Approved,1860,Mumbai
611,Approved,4661,Ayodhya
612,Approved,2099,Pune
613,Declined,2058,Pune
614,Declined,3979,NYC
615,Approved,3553,NYC
616,Under Review,3336,Lucknow
617,Under Review,3399,NYC
618,Approved,2068,Pune
619,Under Review,3496,Mumbai
620,Under Review,4150,Pune
621,Under Review,1522,Mumbai
622,Under Review,4722,Lucknow
623,Declined,1873,Ayodhya
624,Approved,1523,Delhi
625,Approved,4014,Ayodhya
626,Under Review,4592,Lucknow
627,Approved,4079,Ayodhya
628,Declined,4000,Delhi
629,Under Review,3697,Delhi
630,Declined,1398,NYC
631,Under Review,2598,Mumbai
632,Under Review,2816,Lucknow
633,Approved,1406,Mumbai
634,Declined,2541,Pune
635,Declined,1139,Lucknow
636,Under Review,2466,NYC
637,Approved,3815,Delhi
638,Declined,3917,Delhi
639,Under Review,3861,Ayodhya
640,Declined,1058,Ayodhya
641,Under Review,2701,Ayodhya
642,Under Review,1783,Lucknow
643,Approved,3142,Mumbai
644,Approved,3730,Mumbai
645,Under Review,3141,Delhi
646,Under Review,4209,Delhi
647,Approved,1637,Ayodhya
648,Declined,1157,Lucknow
649,Approved,3282,Lucknow
650,Approved,4151,Lucknow
651,Approved,1189,Delhi
652,Under Review,1227,Pune
653,Declined,2306,Delhi
654,Approved,2922,Lucknow
655,Under Review,1830,Lucknow
656,Under Review,3918,NYC
657,Under Review,3850,Ayodhya
658,Approved,3518,Ayodhya
659,Declined,3258,Lucknow
660,Under Review,2542,NYC
661,Under Review,1781,Ayodhya
662,Approved,2846,Pune
663,Under Review,1595,Mumbai
664,Approved,2406,NYC
665,Declined,1436,Pune
666,Declined,3237,Mumbai
667,Approved,2974,NYC
668,Declined,1977,Delhi
669,Declined,3725,Pune
670,Declined,3510,Pune
671,Declined,1529,Delhi
672,Approved,3716,Lucknow
673,Under Review,3400,Pune
674,Declined,3988,Mumbai
675,Declined,4149,NYC
676,Declined,2916,NYC
677,Declined,3780,Pune
678,Approved,2412,Ayodhya
679,Under Review,4671,Mumbai
680,Under Review,2526,Mumbai
681,Approved,3960,Pune
682,Approved,4638,Pune
683,Approved,2212,Ayodhya
684,Under Review,1737,Lucknow
685,Declined,2381,Mumbai
686,Approved,1620,Mumbai
687,Approved,3247,Delhi
688,Under Review,4435,Delhi
689,Declined,3006,Mumbai
690,Under Review,2889,Pune
691,Approved,1510,Lucknow
692,Under Review,3774,Mumbai
693,Under Review,1912,Mumbai
694,Under Review,2637,Delhi
695,Under Review,2570,Delhi
696,Approved,2578,Mumbai
697,Under Review,3985,NYC
698,Under Review,1634,Mumbai
699,Declined,2003,Delhi
700,Under Review,3381,Mumbai
701,Under Review,4901,Lucknow
702,Declined,2848,NYC
703,Declined,4175,Pune
704,Approved,4555,Mumbai
705,Approved,1700,Ayodhya
706,Declined,4349,Ayodhya
707,Under Review,2610,Lucknow
708,Approved,2586,Ayodhya
709,Under Review,3009,Lucknow
710,Declined,2956,NYC
711,Under Review,3771,Mumbai
712,Under Review,1543,Lucknow
713,Approved,1003,NYC
714,Approved,2041,Ayodhya
715,Approved,4085,Ayodhya
716,Approved,3980,Pune
717,Declined,4317,Pune
718,Approved,3941,Pune
719,Approved,2316,Ayodhya
720,Declined,3113,Lucknow
721,Declined,1107,Pune
722,Declined,2221,Lucknow
723,Declined,3287,Mumbai
724,Declined,2691,Lucknow
725,Approved,2725,Ayodhya
726,Approved,3178,Mumbai
727,Approved,4229,NYC
728,Approved,2787,Lucknow
729,Declined,2878,Mumbai
730,Declined,1066,Lucknow
731,Declined,2925,NYC
732,Approved,4459,Delhi
733,Approved,1517,Ayodhya
734,Declined,1105,Pune
735,Declined,2119,Ayodhya
736,Under Review,3231,NYC
737,Approved,1892,NYC
738,Approved,4800,Pune
739,Approved,1858,Mumbai
740,Approved,1969,Pune
741,Under Review,4645,NYC
742,Under Review,3982,NYC
743,Under Review,4733,NYC
744,Under Review,2871,NYC
745,Approved,2172,Mumbai
746,Under Review,3264,Lucknow
747,Declined,4746,Pune
748,Approved,3110,Lucknow
749,Declined,2478,Pune
750,Approved,2700,NYC
751,Under Review,3814,Ayodhya
752,Declined,1460,Pune
753,Under Review,3943,Mumbai
754,Approved,1212,Lucknow
755,Under Review,4428,Pune
756,Declined,3002,Ayodhya
757,Under Review,1164,Mumbai
758,Under Review,2562,Lucknow
759,Approved,2296,Mumbai
760,Under Review,4375,Lucknow
761,Approved,1018,Pune
762,Approved,1062,Pune
763,Declined,1211,Lucknow
764,Approved,4653,Delhi
765,Approved,1954,NYC
766,Declined,2575,Ayodhya
767,Approved,3431,Mumbai
768,Approved,4259,NYC
769,Under Review,4516,Ayodhya
770,Under Review,1666,Delhi
771,Declined,1033,Pune
772,Under Review,3066,Lucknow
773,Under Review,2708,Mumbai
774,Declined,2404,Ayodhya
775,Approved,3080,Delhi
776,Under Review,2378,Mumbai
777,Declined,1706,Mumbai
778,Under Review,4099,Mumbai
779,Declined,2183,Pune
780,Declined,2861,Mumbai
781,Declined,4372,Ayodhya
782,Declined,3655,Ayodhya
783,Declined,1919,Ayodhya
784,Declined,3546,Ayodhya
785,Declined,2318,Pune
786,Under Review,2259,NYC
787,Approved,3624,NYC
788,Under Review,2945,Pune
789,Under Review,2906,Lucknow
790,Declined,4697,Pune
791,Under Review,4956,Delhi
792,Approved,4397,Lucknow
793,Under Review,3343,Lucknow
794,Approved,2410,NYC
795,Declined,4410,NYC
796,Approved,3258,Mumbai
797,Declined,1280,Lucknow
798,Under Review,3494,NYC
799,Approved,1136,Lucknow
800,Under Review,1118,Lucknow
801,Declined,4471,Ayodhya
802,Under Review,2943,Mumbai
803,Under Review,4525,Lucknow
804,Approved,2048,Ayodhya
805,Declined,3215,Pune
806,Declined,1970,Delhi
807,Declined,4104,Delhi
808,Declined,2936,Ayodhya
809,Approved,1216,Lucknow
810,Declined,2699,Pune
811,Under Review,1443,Delhi
812,Declined,2736,Ayodhya
813,Declined,2834,Ayodhya
814,Under Review,1650,Ayodhya
815,Declined,2996,Delhi
816,Declined,2751,NYC
817,Approved,4998,Ayodhya
818,Under Review,4519,Ayodhya
819,Declined,2987,NYC
820,Declined,3882,Delhi
821,Declined,2931,Mumbai
822,Approved,4382,Lucknow
823,Declined,2075,NYC
824,Declined,2595,NYC
825,Under Review,4156,Delhi
826,Approved,1844,Delhi
827,Under Review,2879,Lucknow
828,Approved,2079,Pune
829,Declined,1282,Pune
830,Declined,1873,Mumbai
831,Declined,1365,Mumbai
832,Declined,1509,Pune
833,Declined,4594,Pune
834,Approved,4501,Pune
835,Declined,1928,NYC
836,Approved,3931,Ayodhya
837,Approved,3373,Mumbai
838,Approved,2998,Delhi
839,Declined,2463,Delhi
840,Under Review,2370,NYC
841,Approved,2306,NYC
842,Approved,3696,Ayodhya
843,Approved,4826,Delhi
844,Under Review,4541,Delhi
845,Approved,3432,Lucknow
846,Under Review,4773,Pune
847,Declined,3579,Lucknow
848,Approved,3547,Mumbai
849,Under Review,3281,Ayodhya
850,Approved,1398,NYC
851,Declined,1351,Ayodhya
852,Declined,2487,Lucknow
853,Declined,2989,Lucknow
854,Declined,4149,Delhi
855,Approved,3513,Ayodhya
856,Declined,1741,Delhi
857,Under Review,4192,Pune
858,Declined,3293,Delhi
859,Approved,3352,NYC
860,Declined,1524,Mumbai
861,Approved,4733,Pune
862,Declined,3726,Lucknow
863,Approved,3497,Lucknow
864,Declined,3877,Pune
865,Declined,1202,Delhi
866,Declined,3359,Delhi
867,Under Review,4742,NYC
868,Under Review,2763,Pune
869,Approved,1805,Lucknow
870,Declined,1860,Delhi
871,Approved,2186,Mumbai
872,Declined,2847,Lucknow
873,Under Review,2080,Mumbai
874,Declined,2803,Mumbai
875,Under Review,4606,Mumbai
876,Under Review,3878,NYC
877,Declined,1916,NYC
878,Approved,4004,Pune
879,Approved,2161,Pune
880,Under Review,4511,Mumbai
881,Under Review,4764,NYC
882,Approved,2211,Delhi
883,Approved,4669,Lucknow
884,Approved,4584,Mumbai
885,Approved,3016,NYC
886,Approved,1874,Delhi
887,Approved,4645,Mumbai
888,Approved,2594,Delhi
889,Under Review,1581,NYC
890,Declined,4376,NYC
891,Declined,3591,Pune
892,Approved,2957,Mumbai
893,Under Review,2693,Ayodhya
894,Approved,4990,Pune
895,Approved,4530,Delhi
896,Approved,1321,Lucknow
897,Under Review,4664,Ayodhya
898,Declined,2678,Mumbai
899,Declined,3873,Ayodhya
900,Under Review,3472,Lucknow
901,Approved,2441,NYC
902,Approved,4244,Mumbai
903,Declined,2176,NYC
904,Under Review,2509,Pune
905,Declined,1444,NYC
906,Approved,3169,Delhi
907,Declined,3380,Ayodhya
908,Under Review,4339,Lucknow
909,Declined,4718,Lucknow
910,Under Review,4612,Pune
911,Under Review,4430,Pune
912,Under Review,3484,Lucknow
913,Under Review,3963,Mumbai
914,Under Review,2183,Delhi
915,Declined,1369,Lucknow
916,Under Review,2250,Lucknow
917,Approved,4092,Lucknow
918,Under Review,3727,Pune
919,Declined,3342,NYC
920,Under Review,2761,Pune
921,Declined,1785,Delhi
922,Under Review,2131,Lucknow
923,Approved,4469,Delhi
924,Approved,3645,Ayodhya
925,Approved,4862,Ayodhya
926,Declined,4575,Pune
927,Under Review,1614,Ayodhya
928,Under Review,4647,NYC
929,Under Review,2175,Lucknow
930,Declined,1630,Delhi
931,Declined,1936,Pune
932,Approved,2298,Lucknow
933,Under Review,4023,Delhi
934,Under Review,3811,NYC
935,Approved,3791,Delhi
936,Declined,4512,Lucknow
937,Declined,3780,Delhi
938,Approved,1164,Pune
939,Under Review,2004,Pune
940,Declined,3659,Ayodhya
941,Declined,4293,Pune
942,Under Review,4096,Lucknow
943,Approved,2113,Mumbai
944,Under Review,3602,Pune
945,Declined,1687,Mumbai
946,Approved,1065,Lucknow
947,Declined,4951,Delhi
948,Under Review,4596,Mumbai
949,Approved,3069,Ayodhya
